entity_id,entity_name,suspicion_score,incorporation_date,country
E201,Bluecore Ventures,0.62,2015-03-22,Malta
E202,Northlight Solutions,0.71,2014-07-11,Cyprus
E203,Silk Path Tech,0.55,2016-09-30,Hong Kong
E204,Orion Advisory,0.89,2013-12-05,Bahamas
E205,Summit Capital Group,0.47,2017-01-18,Switzerland
E206,Vertex Dynamics,0.68,2015-11-24,Luxembourg
E207,Horizon Labs,0.72,2016-04-17,Isle of Man
E208,Stratus Holdings,0.63,2014-08-29,Marshall Islands
E209,Apex Nexus,0.81,2013-05-14,Bermuda
E210,Infinitas Corp,0.58,2017-08-03,Liechtenstein
E211,Polaris Innovation,0.65,2015-06-20,Gibraltar
E212,Zenith Edge,0.77,2016-02-12,Andorra
E213,Novum Ventures,0.53,2017-09-01,Seychelles
E214,Aurora Global,0.84,2014-05-06,Cayman Islands
E215,Blue Horizon Capital,0.59,2015-12-15,Jersey
E216,Solaris Partners,0.92,2013-10-22,Vanuatu
E217,Silver Peak Group,0.67,2016-07-25,Anguilla
E218,Infinity Link,0.75,2014-09-08,Samoa
E219,Global Lumen,0.61,2017-03-14,Monaco
E220,Eagle Crest,0.79,2015-01-27,Mauritius
E221,Phoenix Solutions,0.54,2016-10-11,Turks and Caicos
E222,Stellar Axis,0.83,2014-06-13,Saint Kitts and Nevis
E223,Vanguard Insight,0.57,2017-05-19,Guernsey
E224,Crest Capital,0.71,2015-08-26,Saint Lucia
E225,Oceanic Bridge,0.66,2016-01-23,Antigua and Barbuda
E226,Prime Nexus,0.90,2014-11-17,Dominica
E227,Alpine Ventures,0.63,2017-06-29,Cook Islands
E228,Terra Firma,0.76,2015-09-12,Grenada
E229,Ascent Partners,0.60,2016-04-30,Saint Vincent and Grenadines
E230,Nexus Path,0.85,2013-12-28,Belize
E231,Orion Ventures,0.52,2017-10-25,Nauru
E232,Summit Edge,0.74,2014-07-07,Palau
E233,Infinity Core,0.68,2015-11-15,Kiribati
E234,Blue Horizon,0.81,2016-08-18,Tonga
E235,Silver Lumen,0.55,2017-02-05,Comoros
